anoInicio,id,nome,coordenador,campusLotacao,campusExecucao,area,financiamentos,atualizadoEm,parecer
2025,PJ 8857,Aplicação de Inteligência Artificial no Monitoramento e Otimização de Impressoras 3D de Baixo Custo,Carlos Torturella Valadão,Linhares,Linhares,Engenharia Elétrica,0,03/09/2025 09:01:02,Aprovado
2025,PJ 8704,DESENVOLVIMENTO DE ROBÔS MÓVEIS COM MAPEAMENTO E NAVEGAÇÃO AUTÔNOMA BASEADOS EM LiDAR E SLAM,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Agronomia,0,02/09/2025 17:11:39,Aprovado
2025,PJ 8698,Avaliação do nível de atividade física dos servidores do Ifes campus Linhares,André Leite Serafim,Linhares,Linhares,Educação Física,0,03/09/2025 09:01:23,Aprovado
2025,PJ 8658,Estudo do potencial da casca de cacau como fonte de pectina.,Renato César De Souza Oliveira,Linhares,Linhares,Química,4,02/09/2025 17:15:45,Aprovado
2025,PJ 8633,Aplicação de um modelo de linguagem natural multimodal no controle autônomo de robôs: um estudo de caso,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,0,31/07/2026 07:52:09,Aprovado
2025,PJ 8562,Eficiência e Potencial das Células Solares Sensibilizadas por Corante (CSSC): Um Estudo Prático,Tales Costa De Freitas,Linhares,Linhares,Física,0,30/08/2026 12:16:13,Aprovado
2025,PJ 8510,Mapeamento e diagnóstico socioambiental das lagoas urbanas de Linhares/ES.,Fabiano Boscaglia,Linhares,Linhares,Geografia,0,02/09/2025 17:22:51,Recusado
2025,PJ 8495,DESENVOLVIMENTO DE PRATICAS DE FÍSICA UTILIZANDO REALIDADE VIRTUAL,Luciano Leonardo Sampaio Fortes,Linhares,Linhares,Física,0,03/09/2025 09:01:43,Aprovado
2025,PJ 8493,DESENVOLVIMENTO DE MÁQUINA DE ENSAIO DE TRAÇÃO DE BAIXO CUSTO PARA ANÁLISE DE MATERIAIS DE IMPRESSÃO 3D,FRANCISCO ANDSON MARQUES,Linhares,Linhares,Engenharia Mecânica,0,28/08/2026 15:10:42,Aprovado
2024,PJ 8362,Estudo da determinação colorimétrica de alumínio em amostras de água pela complexação com antocianinas do extrato de pétalas da planta Macroptilium atropurpureum (Siratro).,Marina Cominote,Linhares,Linhares,Química,0,21/08/2025 09:28:50,Aprovado
2024,PJ 8283,Sistema de monitoramento da qualidade do ar em arquitetura IoT com desenvolvimento do hardware e das funções de front-end e back-end,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,31/08/2025 16:28:01,Aprovado
2024,PJ 8277,Implementação de Meta-heurísticas no Planejamento de Rota para Drones,Roberto Felipe Andrade Menezes,Linhares,Linhares,Engenharia Elétrica,0,02/09/2024 07:38:09,Aprovado
2024,PJ 8219,"Lucratividade, liquidez e endividamento de empresas listadas no índice Great Place to Work (IGPTW) da B3.",Tiago José Pessotti,Linhares,Linhares,Administração,0,28/08/2025 17:55:33,Aprovado
2024,PJ 7995,Desenvolvimento de uma máquina para conversão de garrafas PET em filamentos para uso em impressoras 3D.,Carlos Jones Rebello Junior,Linhares,Linhares,Ciência da Computação,0,15/08/2024 15:49:38,Recusado
2024,PJ 7976,Visão computacional com drones: um estudo de caso sobre processamento de imagens em tempo real,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,0,03/05/2026 05:55:51,Aprovado
2024,PJ 7972,Nível de conhecimento do endividamento financeiro dos alunos do IFES Campus Linhares,Osmar José Bertholini Pianca,Linhares,Linhares,Administração,0,21/08/2025 22:03:42,Aprovado
2024,PJ 7934,Utilização de Materiais Não Convencionais Para Filamento de Impressora 3D,FRANCISCO ANDSON MARQUES,Linhares,Linhares,Engenharia de Materiais e Metalúrgica,0,23/08/2025 19:19:20,Aprovado
2024,PJ 7925,Explorando Semicondutores e Células Fotovoltaicas: Da Teoria à Prática,Tales Costa De Freitas,Linhares,Linhares,Física,0,01/09/2025 14:30:42,Aprovado
2024,PJ 7919,‘NÍVEL DE ATIVIDADE FÍSICA’ E ‘APTIDÃO FÍSICA RELACIONADA À SAÚDE’ EM ALUNOS INGRESSANTES DOS CURSOS TÉCNICOS INTEGRADOS DO IFES/CAMPUS LINHARES,André Leite Serafim,Linhares,Linhares,Educação Física,0,02/09/2024 07:40:08,Aprovado
2023,PJ 7797,"Sensibilização e Engajamento na Gestão de Resíduos Sólidos: um Estudo no Ifes campus Linhares e Escolas Públicas do Bairro Aviso, Linhares/ES",Faiçal Gazel,Linhares,Linhares,Engenharia Sanitária,0,04/09/2024 08:46:33,Recusado
2023,PJ 7728,O trabalho pedagógico com os clássicos literários no Ensino Médio e na Graduação,Adriana Pin,Linhares,São Mateus,Letras,0,19/12/2024 10:25:06,Aprovado
2023,PJ 7719,MEDIDOR DE CONSUMO INDIVIDUAL IoT DE BAIXO CUSTO APLICADA A ENERGIA RENOVÁVEL.,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Engenharia Elétrica,0,01/09/2023 16:25:01,Aprovado
2023,PJ 7674,Reconhecimento de fala em ambiente não controlado para interface com dispositivos eletrônicos,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,04/09/2024 10:57:54,Aprovado
2023,PJ 7652,Método não intrusivo de identificação dos sinais elétricos para previsão de consumo energético,Eduardo Lima Pereira,Linhares,Linhares,Engenharia Elétrica,0,30/08/2024 16:37:55,Aprovado
2023,PJ 7640,Potencial antioxidante da polpa de diferentes variedades de cacau (Theobroma cacao L.) cultivadas no Espírito Santo,Claudio Sergio Marinato,Linhares,Linhares,Fisiologia,0,31/08/2023 08:15:09,Aprovado
2023,PJ 7627,Inclusão da Astronomia em escolas públicas de ensino básico de Linhares para engajamento dos estudantes nas áreas científicas e tecnológicas,Ricardo Rodrigo Silva Lopes,Linhares,Linhares,Astronomia,0,05/09/2024 20:14:21,Aprovado
2023,PJ 7535,Introdução à meliponicultura às margens do Rio Doce no município de Linhares - ES,KATIA APARECIDA KERN CARDOSO,Linhares,Linhares,Ecologia,0,27/08/2026 15:34:17,Aprovado
2023,PJ 7530,"Uso das antocianinas presentes na casca do cacau, do município de Linhares, como inibidores de corrosão do aço-carbono SAE 1020.",Marcio Vieira Rodrigues,Linhares,Aracruz,Química,1,13/02/2026 15:14:32,Aprovado
2023,PJ 7508,DESENVOLVIMENTO DE ROBÔS MÓVEIS DE BAIXO CUSTO PARA O ENSINO.,Ronaldo Do Amaral Oliveira,Linhares,Linhares,Engenharia Elétrica,0,31/08/2023 19:07:50,Aprovado
2023,PJ 7449,CONTROLE DE MÃO ROBÓTICA UTILIZANDO SISTEMA DE HAND TRACKING PELA REALIDADE VIRTUAL,Luciano Leonardo Sampaio Fortes,Linhares,Linhares,Engenharia Elétrica,0,24/08/2023 15:57:24,Aprovado
2023,PJ 7381,IFMaker-Bots: robótica educacional para todos,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,2,03/05/2026 05:53:20,Aprovado
2023,PJ 7351,NÍVEL DE ATIVIDADE FÍSICA DE ALUNOS INGRESSANTES DOS CURSOS TÉCNICOS INTEGRADOS DO IFES/CAMPUS LINHARES,André Leite Serafim,Linhares,Linhares,Educação Física,0,02/04/2024 10:44:28,Aprovado
2022,PJ 7124,Investigação do uso de antocianinas presentes em pétalas de flores como indicadores ácido-base: uma proposta didática para o ensino básico de química.,Renato César De Souza Oliveira,Linhares,Linhares,Química,1,02/05/2023 11:52:29,Aprovado
2022,PJ 7089,Estação Meteorológica de Baixo Custo para Fins Didáticos do IFES – campus Linhares.,Carlos Jones Rebello Junior,Linhares,Linhares,Ciência da Computação,0,05/09/2022 10:46:54,Aprovado
2022,PJ 7078,Intenção de consumo de produtos orgânicos pelos consumidores da região norte do Espírito Santo,Fausto Karlaire De Barros,Linhares,Linhares,Administração,0,17/08/2024 15:31:01,Recusado
2022,PJ 7070,LINHAMUNDO,Homero Alberto Gomes da Silva,Linhares,Linhares,Educação,0,25/04/2023 10:28:38,Aprovado
2022,PJ 7038,Previsão de Carga Elétrica do Ifes – campus Linhares para Apoio à Decisão na Gestão de Contratos de Energia,Guilherme Guilhermino Neto,Linhares,Linhares,Engenharia de Produção,0,04/05/2024 12:15:53,Aprovado
2022,PJ 7031,Avaliação de Resultados da Primeira Edição do Programa Centelha no Espírito Santo,Guilherme Guilhermino Neto,Linhares,Linhares,Economia,1,14/09/2023 19:06:49,Aprovado
2022,PJ 7023,Sistema de telemetria e comandos remotos com emprego do padrão de comunicação LoRaWAN,Valdeir Alfonso Bonfa,Linhares,Linhares,Engenharia Elétrica,0,05/09/2022 09:47:06,Aprovado
2022,PJ 6999,Gerenciamento de Resíduos Sólidos do Ifes Linhares,Faiçal Gazel,Linhares,Linhares,Engenharia Sanitária,0,30/08/2023 15:48:48,Aprovado
2022,PJ 6986,DESENVOLVIMENTO DE SOFT SKILLS,Daniel Franz Reich Magalhaes,Linhares,Linhares,Administração,0,30/08/2022 16:12:26,Recusado
2022,PJ 6901,Nível de conhecimento dos investimentos financeiros dos alunos do Ifes campus Linhares,Osmar José Bertholini Pianca,Linhares,Linhares,Administração,0,15/08/2023 15:26:49,Aprovado
2022,PJ 6895,"Monitoramento ambiental: aperfeiçoamento de projeto e prototipagem de um medidor de nível d’água de sistemas lacustres e fluviais, com vistas ao Gerenciamento e Redução de Riscos de Desastres (GR2D) ambientais – hidrológicos – em áreas urbanas.",WILSON PIMENTA DA SILVA D'ÁVILA,Linhares,Linhares,Engenharia Sanitária,0,31/08/2022 08:46:13,Aprovado
2022,PJ 6837,AVALIAÇÃO DO NÍVEL DE ATIVIDADE FÍSICA DOS SERVIDORES DO IFES CAMPUS LINHARES,André Leite Serafim,Linhares,Linhares,Educação Física,0,24/04/2023 14:01:19,Aprovado
2022,PJ 6703,IFMaker-Bot: O robô educacional do IFMaker,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,1,03/05/2026 05:53:04,Aprovado
2021,PJ 6578,Desenvolvimento de uma planta industrial aplicada a treinamentos utilizando realidade virtual,Luciano Leonardo Sampaio Fortes,Linhares,Linhares,Engenharia Elétrica,1,24/10/2024 16:25:52,Aprovado
